'thin', 'thick', 'slender', 'slim', 'skinny', 'muscular', 'curvy', 'loose', 'floppy'	  0.7443277893277894
'flat_screen', 'flat', 'smooth', 'calm', 'rippled', 'ridged', 'rippling', 'wrinkled', 'wrinkly', 'crumpled', 'folded', 'folding', 'ruffled', 'uneven', 'choppy', 'rough'	  0.6712351778656127
'landing', 'flying', 'air', 'taking_off', 'plane', 'jet', 'airborne'	Number of classes ==  1, hence skipping this cluster
'yellow', 'amber', 'bright_yellow', 'yellowish', 'chalk', 'white', 'whtie', 'ivory', 'bright', 'white_colored', 'salt', 'pale', 'is_white', 'white.', 'bright_white', 'vanilla', 'used', 'faded', 'gray', 'light_gray', 'light_grey', 'dark_gray', 'dark_grey', 'grey', 'black', 'dark', 'wearing_black', 'dark_colored', 'is_black', 'colored', 'tinted', 'transparent', 'color', 'matching', 'stained', 'colorful', 'brightly_colored', 'multi_colored', 'multicolored', 'rainbow', 'rainbow_colored', 'multi-colored', 'background', 'in_the_background', 'in_background', 'peach', 'pink', 'beige', 'light_skinned', 'light-skinned', 'off_white', 'light_colored', 'light-colored', 'cream_colored', 'off-white', 'light_pink', 'lavender', 'blue', 'sky', 'is_blue', 'purple', 'deep_blue', 'pale_blue', 'clear_blue', 'navy_blue', 'navy', 'light_blue', 'dark_blue', 'bright_blue', 'turquoise', 'teal', 'green', 'neon_green', 'light_green', 'greenish', 'bright_green', 'lime_green', 'dark_green', 'is_green', 'silver', 'golden', 'gold', 'ornate', 'decorative', 'bronze', 'shiny', 'copper', 'golden_brown', 'metallic', 'metalic', 'metal', 'aluminum', 'stainless_steel', 'steel', 'stainless', 'chrome', 'tin', 'brown', 'burgundy', 'maroon', 'tan', 'is_brown', 'dark_brown', 'browned', 'brownish', 'dark_red', 'red_brick', 'light_brown', 'burned', 'burnt', 'damaged', 'orange', 'red', 'reddish', 'is_red', 'bright_red', 'bright_orange'	  0.4422930015011161
'messy', 'cluttered', 'disposable', 'dirty', 'garbage', 'trash', 'dirt', 'clean', 'neat', 'decorated', 'manicured', 'decoration', 'nice', 'lovely', 'pretty', 'designed'	  0.5665196917808217
'wet', 'shower', 'dry'	  0.7381197326358616
'pile', 'piled', 'stack', 'stacked', 'grouped', 'group', 'scattered', 'gathered', 'arranged', 'packed', 'tied', 'present'	  0.6647737650477377
'sliced', 'peeled', 'peeling', 'parted', 'halved', 'slices', 'slice', 'diced', 'chopped'	  1.0
'electronic', 'power', 'turned_on', 'wireless', 'digital', 'signal', 'wii', 'wired', 'laptop', 'computer', 'portable', 'telephone', 'cell'	  0.5568945868945868
'hanging', 'suspended', 'clock', 'office', 'ceiling', 'kitchen', 'bathroom', 'toilet', 'dining', 'utility', 'corner', 'door', 'window', 'windshield', 'wall', 'table'	  0.6260465116279071
'floor', 'carpeted', 'concrete', 'tiled', 'tile', 'bricks', 'clay', 'stone', 'ceramic', 'marble', 'porcelain', 'asphalt', 'brick', 'cement', 'granite', 'cardboard', 'bricked', 'bamboo', 'paper', 'letter'	  0.5674123076923078
'iron', 'brass', 'wrought_iron'	  1.0
'painted', 'canvas'	  1.0
'cloudless', 'sunlit', 'shadowed', 'unlit', 'darker'	  0.8577710843373494
'sitting', 'seated', 'sitting_down', 'hanging_down'	Number of classes ==  1, hence skipping this cluster
'wine', 'soda', 'beer'	Number of classes ==  1, hence skipping this cluster
'ripe', 'sweet', 'fresh', 'unripe'	  0.9205555555555556
'cream', 'creamy', 'coffee', 'cherry', 'tomato', 'pepper', 'banana', 'apple', 'chocolate', 'cake'	  0.5519553376906319
'picture', 'pictured', 'framed', 'in_the_picture', 'in_picture'	Number of classes ==  1, hence skipping this cluster
'happy', 'beautiful', 'smiling', 'fancy', 'laughing', 'cute', 'sad'	  0.9808275550195958
'wedding', 'christmas', 'birthday'	Number of classes ==  1, hence skipping this cluster
'baby', 'teddy', 'teddy_bear', 'toy', 'stuffed'	Number of classes ==  1, hence skipping this cluster
'soft', 'hard', 'protective'	  0.42540229885057473
'styrofoam', 'foamy', 'plastic', 'rubber'	  0.9233333333333331
'brown_and_white', 'black_and_white', 'white_and_black', 'green_and_white', 'white_and_blue', 'blue_and_white', 'yellow_and_black', 'red_and_black', 'orange_and_white', 'red_white', 'red_and_white'	  0.5116304347826087
'african', 'american', 'caucasian', 'french', 'asian', 'chinese'	  0.5404545454545455
'roman', 'roman_numeral', 'number', 'five', 'three', 'two', 'four', 'six', 'word', '2', '3'	  0.9341176470588234
'driving', 'passenger', 'cargo', 'car', 'parking', 'parked', 'license', 'safety'	  0.7762865146058424
'in_air', 'in_the_air', 'mid_air'	Number of classes ==  1, hence skipping this cluster
'electric', 'fire', 'gas', 'electrical'	Number of classes ==  1, hence skipping this cluster
'giraffe', "giraffe's", 'horse', "horse's", 'elephant', "elephant's", 'zebra', "zebra's", 'animal', 'wild', 'bird', 'bear', "bear's", 'polar'	  0.36033333333333334
