| options
batch_size: 200
checkpoint_every: 2000
cluster_classify: 1
cluster_file: attribute_clusters.json
common_embedding_size: 512
dataset: visualgenome
display_every: 1
dump_checkpoint_path: 13
dump_data_path: 13
fc1_size: 1000
fc2_size: 1000
glove_embedding_file: attribute_glove_emb_filtered_datasize100.npy
glove_embedding_size: 100
gpu_ids: [0]
gvqa_cluster_file: grounded_vqa_concept_clusters.json
hidden_size: 512
image_concepts_glove_emb_file: image_concepts_glove_embedding_filtered_datasize100.pkl
image_dir: /dccstor/cssblr/amrita/VisualGenome/data/VG_100K
image_feature_size: 512
image_region_dictionary: region_keys_filtered_datasize100.pkl
image_region_resnet_features: region_resnet_features_filtered_datasize100.h5
input_channels: 3
learning_rate: 0.005
load_checkpoint_path: 13
max_epochs: 3
max_iters: 100000
num_att_layers: 2
preprocessed_data_dir: /dccstor/cssblr/amrita/VisualGenome/data/preprocessed
preprocessed_neg_data: attribute_negative_regions_filtered_datasize100.pkl
preprocessed_pos_data: attribute_regions_filtered_datasize100.pkl
run_dir: /dccstor/cssblr/amrita/Concept_Catalog_VQA/multiclass_unilabel_cce
seed: 1
shuffle_data: 0
sort_by: cluster
weighted_random_sampler: 1
