| options
batch_size: 200
checkpoint_every: 2000
cluster_classify: 0
cluster_file: manual_gvqa_glove_wordnet_concept_clusters_final.json
common_embedding_size: 512
dataset: visualgenome
display_every: 1
dump_checkpoint_path: 10
dump_data_path: 1
fc1_size: 1000
fc2_size: 1000
glove_embedding_file: attribute_glove_emb_filtered_datasize100.pkl
glove_embedding_size: 100
gpu_ids: [0]
hidden_size: 512
image_concepts_glove_emb_file: image_concepts_glove_embedding_filtered_datasize100.pkl
image_dir: /dccstor/cssblr/amrita/VisualGenome/data/VG_100K
image_feature_size: 512
image_region_dictionary: region_keys_filtered_datasize100.pkl
image_region_resnet_features: region_resnet_features_filtered_datasize100.h5
input_channels: 3
learning_rate: 0.005
load_checkpoint_path: 10
max_epochs: 10
max_iters: 100000
num_att_layers: 2
preprocessed_data_dir: /dccstor/cssblr/amrita/VisualGenome/data/preprocessed
preprocessed_neg_data: attribute_negative_regions_filtered_datasize100.pkl
preprocessed_pos_data: attribute_regions_filtered_datasize100.pkl
run_dir: /dccstor/cssblr/amrita/Concept_Catalog_VQA/multiclass_unilabel_cce_level2_attribute
seed: 1
shuffle_data: 1
sort_by: none
vocab_file: manual_gvqa_glove_wordnet_concepts_final.json
weighted_random_sampler: 1
worker_number: 10
